col0,country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
,Greece,EL,EL53,Dytiki Makedonia,381,810,267008,303.361697027804,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL54,Ipeiros,262,561,333696,168.117088607595,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL61,Thessalia,845,1785,718640,248.385839919849,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL62,Ionia Nisia,73,162,203869,79.4627922832799,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Orange,2021-17
,Greece,EL,EL63,Dytiki Ellada,530,1159,655189,176.895521750213,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL64,Sterea Ellada,559,1257,555960,226.095402546946,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL65,Peloponnisos,389,833,574447,145.009026072031,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Orange,2021-17
,Hungary,HU,HU11,Budapest,1521,3832,1752286,218.685762483978,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Hungary,HU,HU12,Pest,1613,3818,1278874,298.543875315316,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Hungary,HU,HU21,Közép-Dunántúl,1452,3737,1058236,353.1348394876,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Hungary,HU,HU22,Nyugat-Dunántúl,1289,3120,989343,315.360800046091,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Hungary,HU,HU23,Dél-Dunántúl,1230,3026,879596,344.02157354058,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Hungary,HU,HU31,Észak-Magyarország,1603,4023,1126360,357.168223303384,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Hungary,HU,HU32,Észak-Alföld,1784,4425,1450960,304.97050228814,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Hungary,HU,HU33,Dél-Alföld,1638,4023,1237101,325.195760087495,12657,9769526,1356.27869765637,9.55230864439782,FALSE,9.55230864439782,1356.27869765637,Red,2021-17
,Iceland,IS,IS,Ísland/Iceland,44,162,356991,45.3792952763515,54,364134,3852.70257652403,0.384916957730416,FALSE,0.384916957730416,3852.70257652403,Orange,2021-17
,Ireland,IE,IE04,Northern and Western,574,1067,867947,122.933773605992,3205,4964440,2581.3989090411,2.5009363880392,FALSE,2.5009363880392,2581.3989090411,Orange,2021-17
,Ireland,IE,IE05,Southern,601,1140,1624381,70.1805795561509,3205,4964440,2581.3989090411,2.5009363880392,FALSE,2.5009363880392,2581.3989090411,Orange,2021-17
,Ireland,IE,IE06,Eastern and Midland,2030,4122,2411912,170.90175760973,3205,4964440,2581.3989090411,2.5009363880392,FALSE,2.5009363880392,2581.3989090411,Red,2021-17
,Italy,IT,ITC1,Piemonte,5901,12845,4356406,294.853142705248,82088,59641488,3334.60660807121,4.12749540051357,TRUE,4.35832668616503,3107.97478471933,Red,2021-17
,Italy,IT,ITC2,Valle d’Aosta/Vallée d’Aoste,295,608,125666,483.822195343211,82088,59641488,3334.60660807121,4.12749540051357,TRUE,7.081132981277,3315.13695032865,Red,2021-17
,Italy,IT,ITC3,Liguria,1618,3581,1550640,230.936903472115,82088,59641488,3334.60660807121,4.12749540051357,TRUE,3.40545546388281,3064.02517670123,Red,2021-17
